,Unnamed: 0.1,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,day,time,button,timeFromStart,timeFromDisplay,num,timeFromDisplay_std
55,5,12900.0,13108.0,3.0781673379115,42.0,pictures\transformed\roomBright_figureDark\0.JPG,gamma,1.086864060600627,sharpness,0.4759295390393851,equalization,16.28630106696098,0.0,43_0_gamma1.1_sharpness0.48_equalization16.0.jpg,43.0,0,0.0,1.1,0.48,0.0,16.0,2023-08-26,17:49:14.020814,t,108.85215902328493,1.230414867401123,10,-0.462179500944707
56,0,1200.0,1316.0,4.198777953669217,3.0,pictures\transformed\roomBright_figureDark\Q.JPG,sharpness,0.730549758529839,gamma,0.8755217569616565,equalization,12.04852650217449,2.0,4_Q_sharpness0.73_gamma0.88_equalization12.0.jpg,4.0,Q,0.0,0.88,0.73,0.0,12.0,2023-08-26,17:51:32.434274,f,11.455050468444824,1.3477497100830078,10,0.22197249084094342
57,1,2700.0,2768.0,3.491433751834667,8.0,pictures\transformed\roomBright_figureDark\2.JPG,contrast,0.841071801516286,equalization,30.50085074815861,None,None,0.0,9_2_contrast0.84_equalization31.0.jpg,9.0,2,0.84,0.0,0.0,0.0,31.0,2023-08-26,17:51:44.835684,t,23.856460332870483,1.2260370254516602,10,-0.48770567220798705
58,2,4200.0,4282.0,4.503350599616888,13.0,pictures\transformed\roomBright_figureDark\3.JPG,contrast,1.173775712031139,sharpness,0.4318446887856393,None,None,0.0,14_3_contrast1.2_sharpness0.43.jpg,14.0,3,1.2,0.0,0.43,0.0,0.0,2023-08-26,17:51:57.263398,t,36.28213405609131,1.172196388244629,10,-0.8016378200872459
59,3,9600.0,9719.0,3.6287134592360495,31.0,pictures\transformed\roomBright_figureDark\9.JPG,sharpness,0.2050235120110504,gamma,1.054839123604553,None,None,2.0,32_9_sharpness0.21_gamma1.1.jpg,32.0,9,0.0,1.1,0.21,0.0,0.0,2023-08-26,17:52:42.277782,f,81.29855823516846,1.19511079788208,10,-0.6680292632789546
60,4,10200.0,10323.0,2.735004940787115,33.0,pictures\transformed\roomBright_figureDark\3.JPG,contrast,1.123487282272064,gamma,0.8199384888931687,equalization,11.27980132697719,0.0,34_3_contrast1.1_gamma0.82_equalization11.0.jpg,34.0,3,1.1,0.82,0.0,0.0,11.0,2023-08-26,17:52:47.321758,t,86.34253406524658,1.2537715435028076,10,-0.325992191947472
61,5,11400.0,11583.0,2.718646848457404,37.0,pictures\transformed\roomBright_figureDark\I.JPG,contrast,0.8139228231555713,equalization,19.93184310335891,None,None,2.0,38_I_contrast0.81_equalization20.0.jpg,38.0,I,0.81,0.0,0.0,0.0,20.0,2023-08-26,17:52:57.385300,f,96.406076669693,1.296051263809204,10,-0.0794690433360733
62,6,12900.0,12971.0,2.968541180219748,42.0,pictures\transformed\roomBright_figureDark\P.JPG,contrast,1.081681508586818,gamma,0.7508285730466763,equalization,8.397868718972608,1.0,43_P_contrast1.1_gamma0.75_equalization8.4.jpg,43.0,P,1.1,0.75,0.0,0.0,8.4,2023-08-26,17:53:09.802290,f,108.8230664730072,1.2031710147857666,10,-0.6210320259465448
63,0,300.0,158.0,3.8020963227274818,0.0,pictures\transformed\roomBright_figureDark\7.JPG,contrast,0.887633991559212,brightness,1.160868949807927,gamma,0.8374142711135298,0.0,1_7_contrast0.89_brightness1.2_gamma0.84.jpg,1.0,7,0.89,0.84,0.0,1.2,0.0,2023-08-26,17:54:20.286670,t,1.6582529544830322,1.5638935565948486,10,1.482256646197962
64,1,3900.0,4096.0,3.018905555645787,12.0,pictures\transformed\roomBright_figureDark\1.JPG,gamma,0.6142070539947976,contrast,0.9062871927362236,equalization,18.44133411998771,0.0,13_1_gamma0.61_contrast0.91_equalization18.0.jpg,13.0,1,0.91,0.61,0.0,0.0,18.0,2023-08-26,17:54:52.583608,t,33.95519161224365,1.367849349975586,10,0.3391687843917309
